Pais,Setor,Ano,EMPE,ENTR,TUTT
ALB,J62,2019,4549.0,1167.0,15646.8720703125
ALB,J62,2020,4771.0,1442.0,18850.169921875
ALB,J63,2019,912.0,445.0,2226.48120117187
ALB,J63,2020,1654.0,424.0,2958.10278320313
ALB,J63,2021,1798.0,291.0,4411.00927734375
ALB,J63,2022,2109.0,427.0,6747.35595703125
AUT,J62,2010,29315.0,8940.0,4927.7001953125
AUT,J62,2011,32070.0,9363.0,5808.39990234375
AUT,J62,2012,34409.0,9650.0,6372.2998046875
AUT,J62,2013,36421.0,9964.0,7091.10009765625
AUT,J62,2014,37815.0,10366.0,7668.2001953125
AUT,J62,2015,39151.0,10656.0,7756.60009765625
AUT,J62,2016,41990.0,10851.0,8439.0
AUT,J62,2017,43926.0,11484.0,8612.2998046875
AUT,J62,2018,43604.0,11427.0,9006.7001953125
AUT,J62,2019,46006.0,12220.0,10841.900390625
AUT,J62,2020,50541.0,13000.0,11256.7998046875
AUT,J62,2021,53838.0,16865.0,11948.51953125
AUT,J62,2022,59253.0,17293.0,13112.8896484375
AUT,J63,2010,12478.0,3909.0,2427.89990234375
AUT,J63,2011,13691.0,3864.0,2875.0
AUT,J63,2012,14035.0,3895.0,2910.89990234375
AUT,J63,2013,14018.0,3899.0,2945.19995117188
AUT,J63,2014,15791.0,3870.0,3140.0
AUT,J63,2015,15146.0,3731.0,3196.60009765625
AUT,J63,2016,15805.0,3554.0,3323.39990234375
AUT,J63,2017,17776.0,3805.0,3986.60009765625
AUT,J63,2018,19938.0,3949.0,4723.5
AUT,J63,2019,19383.0,4291.0,4659.7001953125
AUT,J63,2020,17468.0,4146.0,4163.2001953125
AUT,J63,2021,19977.0,5977.0,4524.8798828125
AUT,J63,2022,19775.0,5918.0,4699.580078125
BEL,J62,2010,47557.0,17087.0,12146.599609375
BEL,J62,2011,44585.0,18413.0,12154.7001953125
BEL,J62,2012,46998.0,18600.0,12578.400390625
BEL,J62,2013,47481.0,20763.0,12427.400390625
BEL,J62,2014,47890.0,20614.0,13215.900390625
BEL,J62,2015,48704.0,21249.0,13439.0
BEL,J62,2016,51689.0,22683.0,14662.400390625
BEL,J62,2017,54721.0,24769.0,16157.0
BEL,J62,2018,61642.0,25697.0,17595.5
BEL,J62,2019,65557.0,28668.0,19546.5
BEL,J62,2020,66882.0,28811.0,19868.19921875
BEL,J62,2021,73154.0,31882.0,22530.08984375
BEL,J62,2022,77668.0,34951.0,26020.330078125
BEL,J63,2010,2263.0,1314.0,637.099975585938
BEL,J63,2011,2994.0,1839.0,853.900024414063
BEL,J63,2012,4282.0,2346.0,1225.5
BEL,J63,2013,4388.0,2479.0,1390.80004882813
BEL,J63,2014,4389.0,2293.0,1535.30004882813
BEL,J63,2015,3695.0,2437.0,1520.59997558594
BEL,J63,2016,3991.0,2552.0,1473.40002441406
BEL,J63,2017,4640.0,2555.0,1674.19995117188
BEL,J63,2018,5004.0,3121.0,1850.90002441406
BEL,J63,2019,5174.0,4015.0,2237.60009765625
BEL,J63,2020,5944.0,3744.0,2331.89990234375
BEL,J63,2021,6236.0,4031.0,2548.51000976563
BEL,J63,2022,6221.0,4808.0,3497.32006835938
BGR,J62,2010,23348.0,4138.0,809.78759765625
BGR,J62,2011,25119.0,4516.0,950.885437011719
BGR,J62,2012,28081.0,4933.0,1139.28259277344
BGR,J62,2013,31172.0,5415.0,1229.08117675781
BGR,J62,2014,33490.0,5906.0,1432.17797851563
BGR,J62,2015,38273.0,6602.0,1838.77185058594
BGR,J62,2016,43644.0,7322.0,2103.76782226562
BGR,J62,2017,48900.0,8046.0,2479.76220703125
BGR,J62,2018,53477.0,8627.0,2925.85498046875
BGR,J62,2019,60221.0,9258.0,3596.14501953125
BGR,J62,2020,64836.0,9570.0,4112.13720703125
BGR,J62,2021,72442.0,9848.0,5077.080078125
BGR,J62,2022,82239.0,10712.0,6275.89990234375
BGR,J63,2010,4989.0,1073.0,132.897964477539
BGR,J63,2011,5175.0,1266.0,142.697814941406
BGR,J63,2012,5435.0,1379.0,163.997497558594
BGR,J63,2013,6249.0,1527.0,180.99723815918
BGR,J63,2014,7112.0,1700.0,219.696640014648
BGR,J63,2015,8448.0,1836.0,278.795715332031
BGR,J63,2016,9499.0,2086.0,321.495086669922
BGR,J63,2017,10180.0,2225.0,382.094177246094
BGR,J63,2018,11089.0,2314.0,445.193206787109
BGR,J63,2019,11907.0,2458.0,513.292175292969
BGR,J63,2020,12046.0,2490.0,544.391662597656
BGR,J63,2021,13065.0,2554.0,677.840026855469
BGR,J63,2022,14109.0,2643.0,828.150024414063
BIH,J62,2011,0.0,0.0,0.0001068115234375
BIH,J62,2012,2583.0,340.0,217.879455566406
BIH,J62,2013,2643.0,349.0,268.926635742188
BIH,J62,2014,2879.0,464.0,345.399597167969
BIH,J62,2015,3554.0,535.0,352.244995117188
BIH,J62,2016,3721.0,576.0,370.629791259766
BIH,J62,2017,4923.0,696.0,435.367767333984
BIH,J62,2018,5699.0,828.0,534.332763671875
BIH,J62,2019,6576.0,921.0,704.881103515625
BIH,J62,2020,7331.0,1056.0,798.174255371094
BIH,J62,2021,8631.0,1431.0,1034.36022949219
BIH,J62,2022,10459.0,1964.0,1453.51416015625
BIH,J63,2011,481.0,61.0,27.9683685302734
BIH,J63,2012,585.0,64.0,36.9651870727539
BIH,J63,2013,622.0,62.0,27.5772037506104
BIH,J63,2014,667.0,118.0,33.8358573913574
BIH,J63,2015,776.0,131.0,49.2869186401367
BIH,J63,2016,863.0,138.0,51.8294944763184
BIH,J63,2017,1105.0,167.0,83.9051055908203
BIH,J63,2018,1323.0,176.0,82.9271926879883
BIH,J63,2019,1410.0,178.0,86.4476852416992
BIH,J63,2020,1943.0,191.0,98.769416809082
BIH,J63,2021,2744.0,238.0,121.144111633301
BIH,J63,2022,3336.0,280.0,140.38948059082
BRA,J62,2010,156395.0,33499.0,27529.607421875
BRA,J62,2011,278333.0,43060.0,53337.765625
BRA,J62,2012,316905.0,47288.0,61183.80859375
BRA,J62,2013,346264.0,53290.0,68357.375
BRA,J62,2014,356792.0,55285.0,74548.015625
BRA,J62,2015,373054.0,50790.0,82377.8515625
BRA,J62,2016,380271.0,47485.0,85605.5
BRA,J62,2017,363076.0,48015.0,91648.25
BRA,J62,2018,390469.0,47728.0,105492.390625
BRA,J62,2019,411738.0,54313.0,113688.796875
BRA,J62,2020,431407.0,55029.0,123820.703125
BRA,J62,2021,514467.0,61497.0,160711.53125
BRA,J63,2010,81799.0,16676.0,9455.1845703125
BRA,J63,2011,83789.0,15343.0,11817.267578125
BRA,J63,2012,85635.0,15745.0,14094.9111328125
BRA,J63,2013,129118.0,18143.0,17790.294921875
BRA,J63,2014,133051.0,20009.0,19900.099609375
BRA,J63,2015,129207.0,19287.0,22190.1796875
BRA,J63,2016,118192.0,20604.0,24833.630859375
BRA,J63,2017,107019.0,21317.0,31637.0390625
BRA,J63,2018,108420.0,23632.0,36925.96484375
BRA,J63,2019,107319.0,21186.0,41513.75390625
BRA,J63,2020,111065.0,23742.0,47983.92578125
BRA,J63,2021,127614.0,20205.0,55668.07421875
CHE,J62,2010,,3749.0,16404.865234375
CHE,J62,2011,,3798.0,18014.818359375
CHE,J62,2012,,3865.0,20703.677734375
CHE,J62,2013,,4347.0,20290.375
CHE,J62,2014,,4580.0,20837.19140625
CHE,J62,2015,,4477.0,22572.4140625
CHE,J62,2016,,4521.0,22515.13671875
CHE,J62,2017,,4669.0,25461.6015625
CHE,J62,2018,,4710.0,26384.2421875
CHE,J62,2019,,4869.0,28763.99609375
CHE,J62,2020,,5073.0,29016.115234375
CHE,J62,2021,,5262.0,34070.3359375
CHE,J62,2022,,5346.0,40442.8515625
CHE,J63,2010,,256.0,0.0
CHE,J63,2011,,268.0,0.0
CHE,J63,2012,,280.0,0.0
CHE,J63,2013,,352.0,0.0
CHE,J63,2014,,387.0,0.0
CHE,J63,2015,,351.0,0.0
CHE,J63,2016,,380.0,0.0
CHE,J63,2017,,397.0,0.0
CHE,J63,2018,,390.0,0.0
CHE,J63,2019,,404.0,0.0
CHE,J63,2020,,432.0,0.0
CHE,J63,2021,,432.0,
CHE,J63,2022,,411.0,
COL,J62,2014,,,4793357.0
COL,J63,2014,,,1292168.5
CRI,J62,2010,8039.0,2364.0,258389.421875
CRI,J62,2011,9028.75,2578.0,273626.40625
CRI,J62,2012,9553.125,2840.0,309908.65625
CRI,J62,2013,10757.0,3860.0,343147.125
CRI,J62,2014,11759.25,3552.0,390956.375
CRI,J62,2015,12650.0830078125,3912.0,469896.03125
CRI,J62,2016,13672.4169921875,4386.0,538033.0625
CRI,J62,2017,15413.25,4884.0,626945.875
CRI,J62,2018,17945.25,5744.0,728738.125
CRI,J62,2019,20602.25,7527.0,882254.625
CRI,J62,2020,22386.083984375,8503.0,875799.1875
CRI,J62,2021,30278.083984375,8683.0,1444742.75
CRI,J62,2022,36556.08203125,7841.0,1769922.625
CRI,J63,2010,995.458312988281,232.0,21246.146484375
CRI,J63,2011,1058.75,239.0,23112.892578125
CRI,J63,2012,1188.5,251.0,25181.60546875
CRI,J63,2013,1260.0,285.0,28794.455078125
CRI,J63,2014,1279.91662597656,248.0,32395.017578125
CRI,J63,2015,1559.08337402344,259.0,41721.1328125
CRI,J63,2016,1851.41662597656,266.0,52731.37109375
CRI,J63,2017,2196.08325195313,283.0,63872.6875
CRI,J63,2018,2383.91674804688,317.0,74496.6875
CRI,J63,2019,2395.08325195313,444.0,79825.0
CRI,J63,2020,2605.33325195313,580.0,72626.3359375
CRI,J63,2021,2809.58325195313,578.0,104422.109375
CRI,J63,2022,3080.0,490.0,124519.5625
CYP,J62,2010,1938.0,372.0,581.099975585938
CYP,J62,2011,1998.0,418.0,666.0
CYP,J62,2012,2157.0,458.0,696.5
CYP,J62,2013,2227.0,498.0,743.200012207031
CYP,J62,2014,2471.0,548.0,760.299987792969
CYP,J62,2015,2628.0,620.0,1006.20001220703
CYP,J62,2016,3174.0,827.0,1279.5
CYP,J62,2017,3828.0,1051.0,1592.80004882813
CYP,J62,2018,5094.0,1299.0,1801.19995117188
CYP,J62,2019,6226.0,1573.0,2478.30004882813
CYP,J62,2020,6443.0,1744.0,2569.69995117188
CYP,J62,2021,7728.0,2075.0,3594.05004882813
CYP,J62,2022,10880.0,2806.0,5416.08984375
CYP,J63,2010,289.0,40.0,28.8999996185303
CYP,J63,2011,382.0,40.0,35.5999984741211
CYP,J63,2012,470.0,45.0,38.0999984741211
CYP,J63,2013,473.0,44.0,36.2999992370606
CYP,J63,2014,561.0,57.0,38.5999984741211
CYP,J63,2015,521.0,64.0,37.0
CYP,J63,2016,543.0,80.0,37.7000007629395
CYP,J63,2017,492.0,85.0,41.7000007629395
CYP,J63,2018,520.0,89.0,43.2000007629395
CYP,J63,2019,607.0,106.0,53.7000007629395
CYP,J63,2020,677.0,112.0,95.9000015258789
CYP,J63,2021,883.0,117.0,139.029998779297
CYP,J63,2022,1044.0,121.0,201.580001831055
CZE,J62,2010,45396.0,19310.0,128235.390625
CZE,J62,2011,48309.0,19812.0,141102.34375
CZE,J62,2012,50798.0,20015.0,143334.203125
CZE,J62,2013,52647.0,20226.0,142832.84375
CZE,J62,2014,54631.0,21314.0,148664.109375
CZE,J62,2015,57441.0,22984.0,164050.4375
CZE,J62,2016,60772.0,25701.0,172084.921875
CZE,J62,2017,65529.0,29954.0,192398.296875
CZE,J62,2018,67874.0,33308.0,214129.359375
CZE,J62,2019,72043.0,35770.0,242104.046875
CZE,J62,2020,73989.0,38773.0,258428.296875
CZE,J62,2021,78210.0,41667.0,284937.3125
CZE,J62,2022,83978.0,45403.0,326073.59375
CZE,J63,2010,8818.0,4929.0,25172.75
CZE,J63,2011,8947.0,4821.0,24238.36328125
CZE,J63,2012,8915.0,4724.0,21680.953125
CZE,J63,2013,9192.0,4523.0,22636.373046875
CZE,J63,2014,9791.0,4409.0,24424.431640625
CZE,J63,2015,10275.0,4267.0,27745.46875
CZE,J63,2016,11191.0,4517.0,32800.35546875
CZE,J63,2017,11703.0,4763.0,37330.26953125
CZE,J63,2018,12594.0,4789.0,42586.84375
CZE,J63,2019,13874.0,4822.0,46206.0
CZE,J63,2020,13830.0,4891.0,49238.04296875
CZE,J63,2021,12925.0,4905.0,54375.00390625
CZE,J63,2022,13531.0,4843.0,62276.28515625
DEU,J62,2010,424119.0,57737.0,77199.3984375
DEU,J62,2011,459245.0,63190.0,86379.8984375
DEU,J62,2012,489022.0,65708.0,94787.6015625
DEU,J62,2013,537179.0,68005.0,100708.5
DEU,J62,2014,581228.0,79900.0,108777.6015625
DEU,J62,2015,597164.0,85276.0,113413.3984375
DEU,J62,2016,622666.0,87535.0,123672.1015625
DEU,J62,2017,674877.0,94674.0,134414.90625
DEU,J62,2018,736262.0,93335.0,146812.40625
DEU,J62,2019,752323.0,91773.0,153203.5
DEU,J62,2020,765399.0,88751.0,154513.5
DEU,J62,2021,830475.0,95922.0,175723.3125
DEU,J62,2022,910661.0,97718.0,190839.0625
DEU,J63,2010,62346.0,10237.0,8344.7998046875
DEU,J63,2011,74652.0,11764.0,11923.5
DEU,J63,2012,73338.0,10477.0,11200.400390625
DEU,J63,2013,78921.0,11729.0,11976.7001953125
DEU,J63,2014,79560.0,12665.0,12445.7001953125
DEU,J63,2015,84350.0,12755.0,13152.2001953125
DEU,J63,2016,95660.0,12975.0,16451.19921875
DEU,J63,2017,98161.0,13305.0,17946.099609375
DEU,J63,2018,105491.0,13412.0,19454.19921875
DEU,J63,2019,97508.0,12467.0,20313.19921875
DEU,J63,2020,85596.0,10847.0,18003.400390625
DEU,J63,2021,91859.0,11655.0,20763.169921875
DEU,J63,2022,103609.0,10947.0,24852.2109375
DNK,J62,2010,43183.0,8686.0,65954.78125
DNK,J62,2011,53342.0,9309.0,67217.8203125
DNK,J62,2012,54197.0,9513.0,68991.1875
DNK,J62,2013,53518.0,9812.0,68480.671875
DNK,J62,2014,53460.0,10241.0,69933.4765625
DNK,J62,2015,54878.0,10257.0,74381.1484375
DNK,J62,2016,48920.0,10938.0,79059.8359375
DNK,J62,2017,51064.0,11531.0,82835.5078125
DNK,J62,2018,53518.0,11850.0,84529.7265625
DNK,J62,2019,55512.0,12103.0,90722.078125
DNK,J62,2020,56768.0,12179.0,91763.4375
DNK,J62,2021,59488.0,12388.0,101526.1328125
DNK,J62,2022,64671.0,13430.0,113186.890625
DNK,J63,2010,3764.0,879.0,5470.7861328125
DNK,J63,2011,5422.0,970.0,7101.1669921875
DNK,J63,2012,5362.0,1047.0,6899.5654296875
DNK,J63,2013,6198.0,1085.0,7932.22216796875
DNK,J63,2014,6589.0,1148.0,8649.8046875
DNK,J63,2015,7232.0,1160.0,9522.5224609375
DNK,J63,2016,7523.0,1229.0,9698.1171875
DNK,J63,2017,7779.0,1289.0,11445.7734375
DNK,J63,2018,8648.0,1253.0,12634.6640625
DNK,J63,2019,9086.0,1276.0,14552.921875
DNK,J63,2020,8938.0,1281.0,15476.4091796875
DNK,J63,2021,9474.0,1280.0,19425.369140625
DNK,J63,2022,9410.0,1273.0,21317.05859375
ESP,J62,2010,189012.0,22770.0,21780.099609375
ESP,J62,2011,194138.0,23674.0,22841.099609375
ESP,J62,2012,199137.0,25991.0,23910.30078125
ESP,J62,2013,194558.0,26559.0,23888.599609375
ESP,J62,2014,199812.0,28346.0,25428.599609375
ESP,J62,2015,217702.0,29594.0,26967.400390625
ESP,J62,2016,232350.0,35445.0,28958.099609375
ESP,J62,2017,248455.0,37778.0,31591.5
ESP,J62,2018,266610.0,36951.0,31816.400390625
ESP,J62,2019,283333.0,37772.0,34438.1015625
ESP,J62,2020,303806.0,39050.0,33763.69921875
ESP,J62,2021,316188.0,39421.0,36037.8984375
ESP,J62,2022,374916.0,41385.0,44240.7109375
ESP,J63,2010,18852.0,3625.0,1583.69995117188
ESP,J63,2011,18415.0,3731.0,1668.69995117188
ESP,J63,2012,18508.0,3927.0,1650.0
ESP,J63,2013,17449.0,3885.0,1752.40002441406
ESP,J63,2014,17327.0,4162.0,1812.80004882813
ESP,J63,2015,20420.0,5273.0,1975.40002441406
ESP,J63,2016,20474.0,5529.0,2023.0
ESP,J63,2017,22352.0,6403.0,2384.19995117188
ESP,J63,2018,22003.0,5716.0,2551.60009765625
ESP,J63,2019,25387.0,5918.0,3077.10009765625
ESP,J63,2020,27816.0,6981.0,3494.10009765625
ESP,J63,2021,29422.0,6979.0,3922.40991210938
ESP,J63,2022,31677.0,7192.0,4739.4501953125
EST,J62,2010,6134.0,1457.0,333.600006103516
EST,J62,2011,6609.0,1756.0,362.700012207031
EST,J62,2012,7012.0,1936.0,409.600006103516
EST,J62,2013,7652.0,2256.0,519.700012207031
EST,J62,2014,8316.0,2394.0,599.299987792969
EST,J62,2015,8956.0,2734.0,661.0
EST,J62,2016,9387.0,2914.0,753.700012207031
EST,J62,2017,,3420.0,0.0
EST,J62,2018,12323.0,3775.0,1220.40002441406
EST,J62,2019,14363.0,4297.0,1574.59997558594
EST,J62,2020,16462.0,4768.0,1805.90002441406
EST,J62,2021,18389.0,6952.0,2502.76000976563
EST,J62,2022,21390.0,8377.0,3832.2099609375
EST,J63,2010,1220.0,326.0,41.7999992370606
EST,J63,2011,1506.0,421.0,64.8000030517578
EST,J63,2012,1797.0,469.0,81.6999969482422
EST,J63,2013,1764.0,534.0,124.699996948242
EST,J63,2014,1991.0,556.0,143.899993896484
EST,J63,2015,1992.0,627.0,157.5
EST,J63,2016,2113.0,670.0,179.399993896484
EST,J63,2017,2499.0,786.0,206.5
EST,J63,2018,2661.0,835.0,235.800003051758
EST,J63,2019,2779.0,947.0,261.899993896484
EST,J63,2020,3114.0,1068.0,300.100006103516
EST,J63,2021,3233.0,1481.0,388.230010986328
EST,J63,2022,3628.0,1749.0,491.309997558594
FIN,J62,2010,42010.0,5134.0,5779.2001953125
FIN,J62,2011,43182.0,5342.0,6071.10009765625
FIN,J62,2012,45888.0,5494.0,6656.5
FIN,J62,2013,,5727.0,0.0
FIN,J62,2014,47730.0,5854.0,8382.400390625
FIN,J62,2015,48343.0,5987.0,9180.400390625
FIN,J62,2016,50163.0,6253.0,9375.900390625
FIN,J62,2017,55760.0,6582.0,10160.599609375
FIN,J62,2018,57657.0,6709.0,9275.0
FIN,J62,2019,60874.0,7095.0,9973.2998046875
FIN,J62,2020,64273.0,7557.0,10842.7998046875
FIN,J62,2021,60855.0,13085.0,11331.099609375
FIN,J62,2022,63837.0,13608.0,11791.7900390625
FIN,J63,2010,3599.0,623.0,603.700012207031
FIN,J63,2011,,647.0,0.0
FIN,J63,2012,,673.0,0.0
FIN,J63,2013,,697.0,0.0
FIN,J63,2014,4298.0,693.0,933.5
FIN,J63,2015,4886.0,899.0,1214.40002441406
FIN,J63,2016,6434.0,742.0,1717.5
FIN,J63,2017,6044.0,777.0,2046.19995117188
FIN,J63,2018,5881.0,804.0,1798.80004882813
FIN,J63,2019,5542.0,826.0,1866.40002441406
FIN,J63,2020,4810.0,824.0,1689.30004882813
FIN,J63,2021,5642.0,1531.0,1685.02001953125
FIN,J63,2022,6447.0,1560.0,1908.73999023438
FRA,J62,2010,292215.0,58687.0,48246.80078125
FRA,J62,2011,312181.0,58721.0,52003.5
FRA,J62,2012,318427.0,69680.0,52230.8984375
FRA,J62,2013,322146.0,78260.0,53313.6015625
FRA,J62,2014,347505.0,87695.0,54953.8984375
FRA,J62,2015,358896.0,71818.0,57351.30078125
FRA,J62,2016,368981.0,73293.0,60613.0
FRA,J62,2017,419325.0,74363.0,75248.5
FRA,J62,2018,386200.0,78544.0,67234.8984375
FRA,J62,2019,399180.0,86043.0,73335.203125
FRA,J62,2020,423228.0,89819.0,73657.1015625
FRA,J62,2021,441989.0,98369.0,80165.78125
FRA,J62,2022,489379.0,115761.0,95625.34375
FRA,J63,2010,57813.0,11497.0,7651.7998046875
FRA,J63,2011,51197.0,11961.0,7891.7001953125
FRA,J63,2012,50873.0,14282.0,8865.900390625
FRA,J63,2013,50143.0,12609.0,8580.400390625
FRA,J63,2014,42336.0,13854.0,7692.0
FRA,J63,2015,52724.0,12659.0,8247.599609375
FRA,J63,2016,46163.0,11858.0,8421.7998046875
FRA,J63,2017,35300.0,10104.0,6665.60009765625
FRA,J63,2018,37094.0,11235.0,8667.0
FRA,J63,2019,45695.0,11054.0,10035.400390625
FRA,J63,2020,59004.0,11023.0,12022.900390625
FRA,J63,2021,66386.0,11376.0,16030.8203125
FRA,J63,2022,64417.0,11851.0,15994.1396484375
GBR,J62,2010,473358.0,104859.0,63511.64453125
GBR,J62,2011,517136.0,113439.0,66575.25
GBR,J62,2012,491074.0,116999.0,68739.8828125
GBR,J62,2013,543396.0,127631.0,75289.109375
GBR,J62,2014,603588.0,136624.0,79618.9375
GBR,J62,2015,617816.0,149466.0,85968.8515625
GBR,J62,2016,677418.0,158070.0,92063.421875
GBR,J62,2017,702365.0,161662.0,98863.5703125
GBR,J62,2018,659245.0,165720.0,111999.421875
GBR,J62,2019,,167506.0,120898.0625
GBR,J63,2010,,6319.0,10123.798828125
GBR,J63,2011,51487.0,6743.0,11120.6669921875
GBR,J63,2012,59605.0,7486.0,11599.08984375
GBR,J63,2013,65165.0,7477.0,12093.2919921875
GBR,J63,2014,,7432.0,12565.9599609375
GBR,J63,2015,,7423.0,12706.482421875
GBR,J63,2016,60347.0,7520.0,13521.419921875
GBR,J63,2017,76089.0,8091.0,14370.375
GBR,J63,2018,76377.0,8538.0,16356.9609375
GBR,J63,2019,,9136.0,17481.705078125
GRC,J62,2010,11848.0,4939.0,1218.0
GRC,J62,2011,9606.0,4912.0,987.0
GRC,J62,2012,10389.0,4790.0,909.099975585938
GRC,J62,2013,12551.0,4770.0,1040.59997558594
GRC,J62,2014,15262.0,8576.0,1627.5
GRC,J62,2015,15084.0,8380.0,1545.19995117188
GRC,J62,2016,16053.0,8070.0,1558.30004882813
GRC,J62,2017,17743.0,7194.0,1888.19995117188
GRC,J62,2018,19763.0,7122.0,1887.5
GRC,J62,2019,21331.0,7351.0,2021.19995117188
GRC,J62,2020,23167.0,7990.0,2115.39990234375
GRC,J62,2021,26478.0,9548.0,2467.48999023438
GRC,J62,2022,35055.0,11258.0,3329.38989257813
GRC,J63,2010,1748.0,1124.0,125.599998474121
GRC,J63,2011,2316.0,1036.0,114.5
GRC,J63,2012,2187.0,1058.0,164.100006103516
GRC,J63,2013,2285.0,1082.0,162.0
GRC,J63,2014,3962.0,4215.0,337.700012207031
GRC,J63,2015,3635.0,4288.0,365.700012207031
GRC,J63,2016,4345.0,4165.0,301.5
GRC,J63,2017,4102.0,3276.0,321.600006103516
GRC,J63,2018,4550.0,3152.0,328.0
GRC,J63,2019,4753.0,3238.0,372.5
GRC,J63,2020,5126.0,3427.0,402.799987792969
GRC,J63,2021,5764.0,4069.0,512.919982910156
GRC,J63,2022,7128.0,4814.0,687.27001953125
HRV,J62,2010,9906.0,3020.0,687.900024414063
HRV,J62,2011,10746.0,3054.0,765.400024414063
HRV,J62,2012,11334.0,3110.0,765.599975585938
HRV,J62,2013,12388.0,3320.0,825.200012207031
HRV,J62,2014,13067.0,3497.0,748.299987792969
HRV,J62,2015,13956.0,3718.0,859.099975585938
HRV,J62,2016,14816.0,3943.0,944.299987792969
HRV,J62,2017,17061.0,4215.0,1190.0
HRV,J62,2018,19151.0,4648.0,1426.59997558594
HRV,J62,2019,21450.0,7413.0,1704.19995117188
HRV,J62,2020,23132.0,7924.0,1817.19995117188
HRV,J62,2021,29430.0,8919.0,2396.38989257813
HRV,J62,2022,33493.0,9801.0,2824.02001953125
HRV,J63,2010,,452.0,0.0
HRV,J63,2011,1778.0,485.0,92.9000015258789
HRV,J63,2012,1731.0,526.0,73.4000015258789
HRV,J63,2013,1985.0,574.0,90.8000030517578
HRV,J63,2014,2266.0,576.0,101.900001525879
HRV,J63,2015,2326.0,610.0,110.099998474121
HRV,J63,2016,2389.0,619.0,127.599998474121
HRV,J63,2017,2493.0,629.0,141.100006103516
HRV,J63,2018,2632.0,662.0,165.199996948242
HRV,J63,2019,3011.0,952.0,205.300003051758
HRV,J63,2020,3229.0,993.0,198.100006103516
HRV,J63,2021,3505.0,1114.0,239.779998779297
HRV,J63,2022,3707.0,1169.0,287.079986572266
HUN,J62,2010,36472.0,18258.0,804071.0625
HUN,J62,2011,38730.0,18618.0,878730.375
HUN,J62,2012,42187.0,18326.0,932137.0625
HUN,J62,2013,43655.0,17548.0,1006567.4375
HUN,J62,2014,46537.0,19574.0,1070328.5
HUN,J62,2015,51376.0,21006.0,1263870.0
HUN,J62,2016,54091.0,22280.0,1302161.875
HUN,J62,2017,58134.0,24283.0,1573344.25
HUN,J62,2018,58591.0,27041.0,1717637.25
HUN,J62,2019,58968.0,30274.0,1912829.0
HUN,J62,2020,60827.0,31896.0,2167704.25
HUN,J62,2021,69663.0,35815.0,2527870.75
HUN,J62,2022,74739.0,36794.0,2896039.0
HUN,J63,2010,7422.0,6080.0,170880.25
HUN,J63,2011,6666.0,6014.0,169829.03125
HUN,J63,2012,8069.0,5755.0,182285.359375
HUN,J63,2013,8286.0,5361.0,194746.71875
HUN,J63,2014,10187.0,5863.0,225080.453125
HUN,J63,2015,8473.0,6170.0,197687.0
HUN,J63,2016,9354.0,6323.0,225420.265625
HUN,J63,2017,9133.0,6396.0,254216.03125
HUN,J63,2018,9075.0,6680.0,284449.90625
HUN,J63,2019,10576.0,7086.0,322144.5625
HUN,J63,2020,11409.0,7167.0,336989.25
HUN,J63,2021,9076.0,7894.0,320258.75
HUN,J63,2022,8309.0,7845.0,388879.65625
